id,name,host_name,host_location,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_cleaned
1166929843701965522,13 mins DT | 4 mins Lake | Peaceful Cozy Loft,Tibo,"Chicago, IL",within an hour,True,Neighborhood highlights,Uptown,41.96779153429518,-87.65771550929566,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$141.00,2,19,4,4.68,False,141.0
1166990641479729210,RS8 - Honore 2,Jose,,within an hour,False,,New City,41.80666629922588,-87.6724455031264,Private room in rental unit,Quarto privativo,3,,,,,2,18,0,4.72,False,
1167018796366486902,RS7- Honore 2,Jose,,within an hour,False,,New City,41.80830885953768,-87.67050024781857,Private room in rental unit,Quarto privativo,3,,,,,2,21,0,4.86,False,
1167030808151045905,RS9 - Honore 2,Jose,,within an hour,False,,New City,41.80682600814356,-87.67151370978269,Private room in rental unit,Quarto privativo,8,,,,,2,22,0,4.86,False,
1167298518190681777,Bucktown Sunlit Oasis,Hannah,"Chicago, IL",within a day,False,,Logan Square,41.9143421759989,-87.67194023517986,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$160.00,34,0,0,,False,160.0
1167493923468975313,Cozy Apartment in Prime Wicker Park!,Patricia,"Chicago, IL",within an hour,True,,West Town,41.90966810142246,-87.67126860173063,Entire rental unit,Todo o espaço,6,1.0,2.0,3.0,$203.00,2,32,4,4.91,False,203.0
1167527918610140509,Renovated Lincoln Park Spacious Garden 2bd/2ba,Michael,"Chicago, IL",within an hour,True,,Lincoln Park,41.92625824796594,-87.64351801366016,Entire condo,Todo o espaço,5,2.0,2.0,2.0,$157.00,32,7,1,5.0,True,157.0
1167624516290995434,King Room Near Wintrust Sports Complex CHI,LuxurybookingsFZE,"Dubai, United Arab Emirates",within an hour,False,,Clearing,41.77344684569791,-87.74169936211167,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$231.00,32,0,0,,False,231.0
1167644657816147016,King Studio Suite Near Gibsons Italia CHI,LuxurybookingsFZE,"Dubai, United Arab Emirates",within an hour,False,Neighborhood highlights,Near West Side,41.88463,-87.64423,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$414.00,32,0,0,,False,414.0
1167853954401214151,"Blueground | River N, gym, pool, nr Riverwalk",,,,False,Neighborhood highlights,Near North Side,41.89052,-87.63596,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$242.00,32,0,0,,True,242.0
1167936653963501167,Hidden Gem with great location - Garage parking,Romana,,within an hour,False,,Avondale,41.93801912439999,-87.71238058087955,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$153.00,3,8,4,5.0,False,153.0
1168129114097599974,Cozy Remodeled Oasis in West Wicker Park!,Dennis Nathaniel,"Chicago, IL",within an hour,True,,West Town,41.90634715216776,-87.69062352741163,Entire home,Todo o espaço,3,1.0,1.0,2.0,$125.00,2,41,2,4.93,False,125.0
1168544322595733108,Urban Retreat near Downtown | WiFi | Free Parking,Tony,"Chicago, IL",within an hour,True,Neighborhood highlights,Armour Square,41.84260965325152,-87.63209112487964,Entire rental unit,Todo o espaço,12,2.0,4.0,4.0,$269.00,1,29,1,4.86,False,269.0
1168591213235909378,"Blueground | Edgewater, patio deck & gym, nr lake",,,,False,,Edgewater,41.9839704,-87.655453,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$198.00,32,0,0,,True,198.0
1168734348059540330,Private room in shared unit,Hatice,,within an hour,True,,Near West Side,41.8702355679041,-87.68583044913575,Private room in rental unit,Quarto privativo,1,2.0,1.0,1.0,$52.00,32,1,0,5.0,False,52.0
1168831207952841901,Duplex 3 Bed 2 Bath Apt Steps from Lincoln Square,Billy,"Chicago, IL",within an hour,False,Neighborhood highlights,North Center,41.96034600000001,-87.68838919999999,Entire rental unit,Todo o espaço,6,2.0,3.0,4.0,$189.00,2,23,2,4.91,False,189.0
1168980224626915303,2BR Designer Flat in West Loop/Fulton Market,Jorge,"Chicago, IL",within an hour,True,,Near West Side,41.88517571627106,-87.65707625204506,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$247.00,1,62,5,4.84,False,247.0
1169111539991735424,Modern East Woodlawn Apartment!,Alonzo,"Chicago, IL",within an hour,False,,Woodlawn,41.7755,-87.59761,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$144.00,1,29,2,4.9,False,144.0
1169119458882257433,Bright Apt In Heart of Chinatown,Kenneth,,within a few hours,True,,Armour Square,41.85041,-87.63165,Entire rental unit,Todo o espaço,6,2.0,3.0,3.0,$195.00,2,29,0,4.93,False,195.0
1169687969849617663,Lux Skyhouse West Loop w/Parking,Sarah,,within an hour,True,Neighborhood highlights,Near West Side,41.88171429424044,-87.6479524012492,Entire rental unit,Todo o espaço,6,2.5,3.0,3.0,$758.00,3,19,1,5.0,False,758.0
